id,title,region,full_address,email,phone,about
1,"Upstream Brewing Co, Old Market",Downtown / Old Market,"514 S 11th St, Omaha, Nebraska 68102",,(402) 344-0200,"Derived from the Native American meaning of Omaha, “upstream” or “against the current,” the Upstream Brewing Company is just that—a brewery and restaurant different from the rest. Upstream's American pub fare menu offers delicious options for every palate. Succulent hand-cut steaks, melt-in-your-mouth macaroni and cheese, and more will leave you satisfied with any selection. Visit the website to reserve your table today."
2,Boxer BBQ,Council Bluffs,"513 S Main St, Council Bluffs, IA 51503",,,Boxer BBQ serves up the best cuts of meat using their custom made BBQ pit. Their custom made rubs and sauces help create a taste that defines Midwest BBQ.
3,Spaghetti Works,Downtown / Old Market,"502 S 11th St, Omaha, NE 68102",,(402) 422-0770,Enjoy all you can eat pasta dishes in this historic warehouse turned restaurant. Sit outside and enjoy the sound of street musicians and watch the horse-drawn carriages roll by.
4,Spaghetti Works - Ralston,Southwest,"8416 Park Dr, Ralston, NE 68127",,(402) 592-1444,Enjoy all you can eat pasta dishes at this popular Omaha eatery.
7,13th Street Coffee & Tea Company,Downtown / Old Market,"519 S 13th St, Omaha, NE 68102",,(402) 345-2883,"Espresso beverages, baked goods & gelato in an airy cafe setup in Omaha's Old Market District."
8,402BBQ,Southwest,"3027 S 84th St, Omaha, NE 68124",the402bbq@yahoo.com,(402) 618-8274,"We're slinging all your favorite BBQ dishes - pulled pork, beef brisket, pulled chicken, smoked sausage and more.  Everything is slathered with one of our four homemade sauces.  Check us out on Facebook or Twitter to find our daily locations and get special offers!"
9,801 Chophouse at the Paxton,Downtown / Old Market,"1403 Farnam St, Omaha, NE 68102",,(402) 341-1222,"Whether you are looking for an intimate meal for two or a place to hold your next event, 801 Chophouse provides the best steakhouse restaurant experience in Omaha."
10,A Hill of Beans,Southwest,"14512 W Center Rd, Omaha, NE 68144",,(402) 333-6048,"At A Hill of Beans Coffee Roasters we hand roast coffee beans expertly to provide the maximum flavor, each and every day. We provide our customers with the freshest roasted coffee from the largest selection available."
11,A Taste of New Orleans,Central,"6023 Maple St, Omaha, NE 68104",atasteofneworleansbenson@yahoo.com,(402) 972-5614,Authentic New Orleans cuisine from a Big Easy native. The go-to spot for authentic Cajun & Creole cuisine.
12,A Taste of New Orleans,Central,"6023 Maple St, Omaha, NE 68104",atasteofneworleansbenson@yahoo.com,(402) 972-5614,"Authentic New Orleans cuisine from a Big Easy native. Follow us on Facebook to find out where we are serving up the Big Easy Meal Deals featuring Cajun fried shrimp, catfish, Jambalaya and more!"
